Home Team,Home Team HT,Home Team FT,Away Team,Away Team HT,Away Team FT,date,time,Total HT Goals,Total FT Goals,FT-HT Goals
Manchester Utd,2,2,Tottenham,1,2,2022-01-14,19:30,3,4,1
Everton,0,0,Aston Villa,0,0,2022-01-14,17:00,0,0,0
Newcastle,2,2,Manchester City,1,3,2022-01-13,20:30,3,5,2
Chelsea,1,1,Fulham,0,0,2022-01-13,15:30,1,1,0
Burnley,1,1,Luton,0,1,2022-01-12,22:45,1,2,1
West Ham,0,0,Brighton,0,0,2022-01-02,22:30,0,0,0
Liverpool,0,4,Newcastle,0,2,2022-01-01,23:00,0,6,6
Fulham,1,2,Arsenal,1,1,2022-12-31,17:00,2,3,1
Tottenham,1,3,Bournemouth,0,1,2022-12-31,17:00,1,4,3
Nottingham,0,2,Manchester Utd,0,1,2022-12-30,20:30,0,3,3
Aston Villa,2,3,Burnley,1,2,2022-12-30,18:00,3,5,2
Crystal Palace,2,3,Brentford,1,1,2022-12-30,18:00,3,4,1
Manchester City,1,2,Sheffield Utd,0,0,2022-12-30,18:00,1,2,1
Wolves,1,3,Everton,0,0,2022-12-30,18:00,1,3,2
Luton,0,2,Chelsea,2,3,2022-12-30,15:30,2,5,3
Arsenal,0,0,West Ham,1,2,2022-12-28,23:15,1,2,1
Brighton,2,4,Tottenham,0,2,2022-12-28,22:30,2,6,4
Everton,1,1,Manchester City,0,3,2022-12-27,23:15,1,4,3
Brentford,1,1,Wolves,3,4,2022-12-27,22:30,4,5,1
Chelsea,1,2,Crystal Palace,1,1,2022-12-27,22:30,2,3,1
Manchester Utd,0,3,Aston Villa,2,2,2022-12-26,23:00,2,5,3
Burnley,0,0,Liverpool,1,2,2022-12-26,20:30,1,2,1
Bournemouth,1,3,Fulham,0,0,2022-12-26,18:00,1,3,2
Sheffield Utd,0,2,Luton,1,3,2022-12-26,18:00,1,5,4
Newcastle,1,1,Nottingham,1,3,2022-12-26,15:30,2,4,2
Wolves,0,2,Chelsea,0,1,2022-12-24,16:00,0,3,3
Liverpool,1,1,Arsenal,1,1,2022-12-23,20:30,2,2,0
Fulham,0,0,Burnley,0,2,2022-12-23,18:00,0,2,2
Luton,1,1,Newcastle,0,0,2022-12-23,18:00,1,1,0
Nottingham,0,2,Bournemouth,0,3,2022-12-23,18:00,0,5,5
Tottenham,2,2,Everton,0,1,2022-12-23,18:00,2,3,1
West Ham,0,2,Manchester Utd,0,0,2022-12-23,15:30,0,2,2
Aston Villa,0,1,Sheffield Utd,0,1,2022-12-22,23:00,0,2,2
Crystal Palace,1,1,Brighton,0,1,2022-12-21,23:00,1,2,1
Liverpool,0,0,Manchester Utd,0,0,2022-12-17,19:30,0,0,0
Arsenal,0,2,Brighton,0,0,2022-12-17,17:00,0,2,2
Brentford,1,1,Aston Villa,0,2,2022-12-17,17:00,1,3,2
West Ham,2,3,Wolves,0,0,2022-12-17,17:00,2,3,1
Burnley,0,0,Everton,2,2,2022-12-16,20:30,2,2,0
Bournemouth,0,1,Luton,1,1,2022-12-16,"18:00
Abn",1,2,1
Chelsea,0,2,Sheffield Utd,0,0,2022-12-16,18:00,0,2,2
Manchester City,1,2,Crystal Palace,0,2,2022-12-16,18:00,1,4,3
Newcastle,0,3,Fulham,0,0,2022-12-16,18:00,0,3,3
Nottingham,0,0,Tottenham,1,2,2022-12-15,23:00,1,2,1
Tottenham,2,4,Newcastle,0,1,2022-12-10,19:30,2,5,3
Everton,0,2,Chelsea,0,0,2022-12-10,17:00,0,2,2
Fulham,3,5,West Ham,0,0,2022-12-10,17:00,3,5,2
Luton,1,1,Manchester City,0,2,2022-12-10,17:00,1,3,2
Aston Villa,1,1,Arsenal,0,0,2022-12-09,20:30,1,1,0
Brighton,0,1,Burnley,1,1,2022-12-09,18:00,1,2,1
Manchester Utd,0,0,Bournemouth,1,3,2022-12-09,18:00,1,3,2
Sheffield Utd,1,1,Brentford,0,0,2022-12-09,18:00,1,1,0
Wolves,1,1,Nottingham,1,1,2022-12-09,18:00,2,2,0
Crystal Palace,0,1,Liverpool,0,2,2022-12-09,15:30,0,3,3
Tottenham,1,1,West Ham,0,2,2022-12-07,23:15,1,3,2
Everton,0,3,Newcastle,0,0,2022-12-07,22:30,0,3,3
Aston Villa,0,1,Manchester City,0,0,2022-12-06,23:15,0,1,1
Manchester Utd,1,2,Chelsea,1,1,2022-12-06,23:15,2,3,1
Brighton,1,2,Brentford,1,1,2022-12-06,22:30,2,3,1
Crystal Palace,0,0,Bournemouth,1,2,2022-12-06,22:30,1,2,1
Fulham,2,5,Nottingham,0,0,2022-12-06,22:30,2,5,3
Sheffield Utd,0,0,Liverpool,1,2,2022-12-06,22:30,1,2,1
Luton,1,3,Arsenal,2,4,2022-12-05,23:15,3,7,4
Wolves,1,1,Burnley,0,0,2022-12-05,22:30,1,1,0
Manchester City,2,3,Tottenham,1,3,2022-12-03,19:30,3,6,3
Bournemouth,1,2,Aston Villa,1,2,2022-12-03,17:00,2,4,2
Chelsea,2,3,Brighton,1,2,2022-12-03,17:00,3,5,2
Liverpool,2,4,Fulham,2,3,2022-12-03,17:00,4,7,3
West Ham,1,1,Crystal Palace,0,1,2022-12-03,17:00,1,2,1
Newcastle,0,1,Manchester Utd,0,0,2022-12-02,23:00,0,1,1
Nottingham,0,0,Everton,0,1,2022-12-02,20:30,0,1,1
Arsenal,2,2,Wolves,0,1,2022-12-02,18:00,2,3,1
Brentford,0,3,Luton,0,1,2022-12-02,18:00,0,4,4
Burnley,2,5,Sheffield Utd,0,0,2022-12-02,18:00,2,5,3
Fulham,1,3,Wolves,1,2,2022-11-27,23:00,2,5,3
Everton,0,0,Manchester Utd,1,3,2022-11-26,19:30,1,3,2
Tottenham,1,1,Aston Villa,1,2,2022-11-26,17:00,2,3,1
Brentford,0,0,Arsenal,0,1,2022-11-25,20:30,0,1,1
Burnley,0,1,West Ham,0,2,2022-11-25,18:00,0,3,3
Luton,0,2,Crystal Palace,0,1,2022-11-25,18:00,0,3,3
Newcastle,1,4,Chelsea,1,1,2022-11-25,18:00,2,5,3
Nottingham,1,2,Brighton,2,3,2022-11-25,18:00,3,5,2
Sheffield Utd,0,1,Bournemouth,2,3,2022-11-25,18:00,2,4,2
Manchester City,1,1,Liverpool,0,1,2022-11-25,15:30,1,2,1
Chelsea,2,4,Manchester City,2,4,2022-11-12,19:30,4,8,4
Aston Villa,2,3,Fulham,0,1,2022-11-12,17:00,2,4,2
Brighton,1,1,Sheffield Utd,0,1,2022-11-12,17:00,1,2,1
Liverpool,1,3,Brentford,0,0,2022-11-12,17:00,1,3,2
West Ham,1,3,Nottingham,1,2,2022-11-12,17:00,2,5,3
Bournemouth,0,2,Newcastle,0,0,2022-11-11,20:30,0,2,2
Arsenal,1,3,Burnley,0,1,2022-11-11,18:00,1,4,3
Crystal Palace,1,2,Everton,1,3,2022-11-11,18:00,2,5,3
Manchester Utd,0,1,Luton,0,0,2022-11-11,18:00,0,1,1
Wolves,0,2,Tottenham,1,1,2022-11-11,15:30,1,3,2
Tottenham,1,1,Chelsea,1,4,2022-11-06,23:00,2,5,3
Luton,0,1,Liverpool,0,1,2022-11-05,19:30,0,2,2
Nottingham,1,2,Aston Villa,0,0,2022-11-05,17:00,1,2,1
Newcastle,0,1,Arsenal,0,0,2022-11-04,20:30,0,1,1
Brentford,1,3,West Ham,2,2,2022-11-04,18:00,3,5,2
Burnley,0,0,Crystal Palace,1,2,2022-11-04,18:00,1,2,1
Everton,1,1,Brighton,0,1,2022-11-04,18:00,1,2,1
Manchester City,3,6,Bournemouth,0,1,2022-11-04,18:00,3,7,4
Sheffield Utd,0,2,Wolves,0,1,2022-11-04,18:00,0,3,3
Fulham,0,0,Manchester Utd,0,1,2022-11-04,15:30,0,1,1
Manchester Utd,0,0,Manchester City,1,3,2022-10-29,18:30,1,3,2
Aston Villa,1,3,Luton,0,1,2022-10-29,17:00,1,4,3
Brighton,1,1,Fulham,0,1,2022-10-29,17:00,1,2,1
Liverpool,2,3,Nottingham,0,0,2022-10-29,17:00,2,3,1
West Ham,0,0,Everton,0,1,2022-10-29,16:00,0,1,1
